"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"429",947074,2650,91,185,0,1287641147
"430",947024,2708,75,193,0,1290633264
"431",947031,2732,71,166,0,1293624397
"432",947092,2686,74,148,0,1296626997
"433",947042,2731,72,155,0,1299622693
"434",946946,2808,74,172,0,1302617623
"435",946886,2875,73,166,0,1305610287
"436",946893,2879,71,157,0,1308619698
"437",946915,2854,75,156,0,1311628323
"438",946950,2812,73,165,0,1314613870
"439",946942,2802,77,179,0,1317595686
"440",946905,2855,67,173,0,1320589141
"441",946892,2864,64,180,0,1323587733
"442",946860,2893,67,180,0,1326572318
"443",946844,2897,81,178,0,1329570680
"444",946891,2848,55,206,0,1332558334
"445",946825,2883,63,229,0,1335547072
"446",946843,2864,63,230,0,1338540515
"447",946834,2854,70,242,0,1341535720
"448",946825,2863,68,244,0,1344525103
"449",946826,2891,59,224,0,1347524030
"450",946723,2959,68,250,0,1350520780
"451",946722,2930,82,266,0,1353516803
"452",946699,2929,92,280,0,1356501680
"453",946742,2893,81,284,0,1359504067
"454",946734,2885,90,291,0,1362495392
"455",946789,2852,77,282,0,1365484122
"456",946791,2824,88,297,0,1368474779
"457",946831,2791,83,295,0,1371467990
"458",946877,2767,97,259,0,1374459625
"459",946919,2725,92,264,0,1377445062
"460",946887,2779,95,239,0,1380435973
"461",946908,2771,74,247,0,1383419287
"462",946978,2749,63,210,0,1386417664
"463",946951,2772,70,207,0,1389403969
"464",946977,2726,84,213,0,1392404987
"465",946961,2766,78,195,0,1395395042
"466",946918,2814,83,185,0,1398385587
"467",946875,2839,97,189,0,1401394438
"468",946776,2918,109,197,0,1404389225
"469",946722,2963,110,205,0,1407397856
"470",946744,2940,112,204,0,1410380790
"471",946665,3011,98,226,0,1413377732
"472",946600,3080,103,217,0,1416365980
"473",946627,3046,102,225,0,1419353646
"474",946570,3116,111,203,0,1422351459
"475",946606,3105,100,189,0,1425349224
"476",946483,3239,81,197,0,1428347137
"477",946423,3289,79,209,0,1431347699
"478",946447,3253,78,222,0,1434338471
"479",946435,3293,74,198,0,1437331910
"480",946368,3338,84,210,0,1440338821
"481",946387,3306,97,210,0,1443323570
"482",946375,3301,100,224,0,1446317625
"483",946419,3254,97,230,0,1449305640
"484",946408,3251,97,244,0,1452292610
"485",946432,3216,93,259,0,1455283140
"486",946361,3282,103,254,0,1458269996
"487",946327,3339,100,234,0,1461270112
"488",946247,3420,104,229,0,1464268763
"489",946272,3388,107,233,0,1467263311
"490",946241,3427,106,226,0,1470250807
"491",946188,3483,101,228,0,1473248504
"492",946183,3472,109,236,0,1476250012
"493",946190,3489,99,222,0,1479240867
"494",946232,3477,71,220,0,1482246100
"495",946183,3539,67,211,0,1485248646
"496",946214,3513,70,203,0,1488251851
"497",946222,3489,80,209,0,1491254040
"498",946242,3490,71,197,0,1494240107
"499",946218,3499,75,208,0,1497246273
"500",946164,3537,83,216,0,1500242297
"501",946065,3582,110,243,0,1503230989
"502",946010,3633,100,257,0,1506223620
"503",945929,3722,103,246,0,1509222876
"504",945977,3669,85,269,0,1512205409
"505",946001,3652,75,272,0,1515195475
"506",946000,3662,80,258,0,1518192206
"507",945947,3719,59,275,0,1521176366
"508",945923,3725,67,285,0,1524173811
"509",945962,3640,86,312,0,1527167548
"510",945989,3615,76,320,0,1530158394
"511",946013,3572,75,340,0,1533155722
"512",945973,3571,90,366,0,1536149104
"513",945983,3536,110,371,0,1539145381
"514",945982,3542,101,375,0,1542141948
"515",945978,3532,115,375,0,1545128381
"516",945959,3550,124,367,0,1548120706
"517",945989,3538,116,357,0,1551111172
"518",945988,3561,105,346,0,1554105475
"519",945919,3591,118,372,0,1557094851
"520",945962,3555,115,368,0,1560093563
"521",945960,3549,115,376,0,1563085185
"522",945932,3552,111,405,0,1566072091
"523",945924,3596,106,374,0,1569047397
"524",945946,3561,117,376,0,1572050345
"525",946019,3517,99,365,0,1575050552
"526",945890,3641,107,362,0,1578050925
"527",945932,3593,114,361,0,1581046751
"528",945948,3604,78,370,0,1584038499
"529",945996,3531,74,399,0,1587032533
"530",945981,3528,86,405,0,1590036690
"531",945924,3567,96,413,0,1593022224
"532",945953,3555,81,411,0,1596014382
"533",946010,3535,62,393,0,1598991290
"534",946024,3516,57,403,0,1601978223
"535",945942,3613,74,371,0,1604951179
"536",946004,3547,72,377,0,1607946674
"537",945977,3536,81,406,0,1610955938
"538",946097,3436,68,399,0,1613952454
"539",946131,3405,70,394,0,1616941290
"540",946079,3468,68,385,0,1619947624
"541",946136,3399,70,395,0,1622956941
"542",946163,3372,63,402,0,1625946723
"543",946148,3382,56,414,0,1628943382
"544",946123,3412,53,412,0,1631921679
"545",946232,3298,47,423,0,1634911990
"546",946221,3280,71,428,0,1637912794
"547",946227,3253,84,436,0,1640928335
"548",946166,3300,98,436,0,1643914205
"549",946083,3308,116,493,0,1646900111
"550",946122,3283,100,495,0,1649882502
"551",946120,3310,92,478,0,1652883742
"552",946057,3346,85,512,0,1655884235
"553",946107,3318,63,512,0,1658869153
"554",946065,3331,66,538,0,1661859991
"555",946061,3286,78,575,0,1664861556
"556",946135,3255,68,542,0,1667857838
"557",946124,3239,80,557,0,1670853936
"558",946102,3252,85,561,0,1673848206
