"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"473",942851,5761,135,1253,0,1419879618
"474",942965,5682,114,1239,0,1422864633
"475",942892,5794,112,1202,0,1425857186
"476",942890,5789,131,1190,0,1428848652
"477",942926,5713,119,1242,0,1431836383
"478",942920,5717,132,1231,0,1434817290
"479",942909,5744,119,1228,0,1437801674
"480",942819,5795,118,1268,0,1440797215
"481",942860,5747,127,1266,0,1443801222
"482",942697,5922,107,1274,0,1446789039
"483",942704,5889,122,1285,0,1449784652
"484",942741,5805,128,1326,0,1452761922
"485",942609,5900,154,1337,0,1455765835
"486",942681,5891,147,1281,0,1458766212
"487",942785,5840,136,1239,0,1461763175
"488",942851,5750,139,1260,0,1464749549
"489",942824,5757,148,1271,0,1467744578
"490",942824,5756,134,1286,0,1470742720
"491",942810,5815,102,1273,0,1473737508
"492",942799,5839,111,1251,0,1476709801
"493",942896,5764,97,1243,0,1479688914
"494",942797,5840,108,1255,0,1482684411
"495",942787,5839,114,1260,0,1485681981
"496",942638,5957,125,1280,0,1488664917
"497",942751,5923,106,1220,0,1491658929
"498",942628,6021,135,1216,0,1494653180
"499",942664,5939,143,1254,0,1497645377
"500",942584,5932,143,1341,0,1500638198
"501",942618,5893,154,1335,0,1503641382
"502",942688,5863,134,1315,0,1506639845
"503",942668,5922,148,1262,0,1509645418
"504",942630,6023,135,1212,0,1512640428
"505",942771,5876,144,1209,0,1515639469
"506",942812,5808,163,1217,0,1518633061
"507",942733,5899,140,1228,0,1521609398
"508",942715,5927,159,1199,0,1524597100
"509",942626,5977,150,1247,0,1527583937
"510",942599,5963,165,1273,0,1530586760
"511",942604,5974,151,1271,0,1533585757
"512",942602,5970,145,1283,0,1536578787
"513",942615,5947,153,1285,0,1539573263
"514",942581,5972,129,1318,0,1542569117
"515",942548,5978,131,1343,0,1545573774
"516",942466,6099,123,1312,0,1548574003
"517",942308,6244,121,1327,0,1551561315
"518",942282,6250,139,1329,0,1554550949
"519",942298,6186,150,1366,0,1557548976
